Position,Batsman,Matches,Innings,Runs,Average,Strike_rate,Fours,Sixes,Country
1,Rahmanullah Gurbaz,8,8,221,35.12,124.34,18,16,Afghanistan
2,Abhishek Sharma,8,8,257,36.71,196.71,24,19,India
3,Travis Head,7,7,255,42.5,158.39,26,15,Australia
4,Quinton de Kock,9,9,243,27,140.46,21,13,South Africa
5,Ibrahim Zadran,8,8,231,28.88,107.44,25,4,Afghanistan
6,Nicholas Pooran,7,7,228,38,146.15,15,17,West Indies
7,Andries Gous,6,6,219,43.8,151.03,20,11,United States of America
8,Jos Buttler,8,7,214,42.8,158.52,22,10,England
9,Suryakumar Yadav,8,8,253,28.43,135.37,15,10,India
10,Heinrich Klaasen,9,8,250,31.67,167.12,9,13,South Africa
11,Philip Salt,8,7,188,37.6,159.32,16,10,England
12,David Warner,7,7,178,29.67,139.06,17,9,Australia
13,Rishabh Pant,8,8,171,24.43,127.61,19,6,India
14,David Miller,9,8,250,28.17,154.42,10,8,South Africa
15,Marcus Stoinis,7,5,250,42.25,164.08,14,10,Australia
16,Hardik Pandya,8,8,248,45.8,167.36,24,17,India
